id,name,city,country
666,Silvia Serrano,Fortaleza,Brazil
667,Erin White,Sidney,Australia
668,Abby Hughes,Manchester,United Kingdom
669,Marie Goosens,Brussels,Belgium
670,Mina Smits,Utrecht,Netherlands
671,Angeliki Zervas,Corinth,Greece
672,Soon Bok Park,Incheon,South Korea
673,Yoshio Yamashita,Kyoto,Japan
674,Jessica Harris,Burmingham,United Kingdom
675,Toby Fox,Vancouver,Canada
676,Erin Anderson,Bandung,Indonesia
677,Simran Rao,Delhi,India
678,Keith Wilson,Semarang,Indonesia
679,Carrie Marshall,Calgary,Canada
680,Heidi Nilsen,Gothenburg,Sweden
681,Arthur Howard,Quebec City,Canada
682,Blanka Pawlak,Kraków,Poland
683,Heidi Johnson,Osio,Norway
684,Viktor Chepurnov,Mariupol,Ukraine
685,Rolf Karlsen,Osio,Norway
686,Thomas Morel,Nice,France
687,Alex Thomas,Miami,United States
688,Heidi Hansen,Helsingborg,Sweden
689,Guadalupe Ramírez,Maracay,Venezuela
690,Encarnación Delgado,Córdoba,Argentina
691,Teresa Rodriguez,Porto,Portugal
692,Dennis Demopolous,Patras,Greece
693,Iglin Sahin,Antalya,Turkey
694,Nazli Ahmad,Istanbul,Turkey
695,Jose Luis Soto,Cartagena,Colombia
696,Zacharie André,Paris,France
697,Maurizio Giordano,Bologna,Italy
698,Lakshmi Sharma,Delhi,India
699,Pedro Castro,Evora,Portugal
700,Gerard Visser,Amsterdam,Netherlands
701,Julia Navarro,Valencia,Spain
702,Elisabeth Meer,Rotterdam,Netherlands
703,Ye Yuan,Beijing,China
704,Kesia Khumalo,Cape Town,South Africa
705,Karima Isra,Luxor,Egypt
706,Hyun Song,Daegu,South Korea
707,Adèle Thomas,Dijon,France
708,Sabri Adin,Istanbul,Turkey
709,Erica Black,New York City,United States
710,Encarnación Márquez,Mendoza,Argentina
711,Emma Moore,Limerick,Ireland
712,Seung Shin,Daegu,South Korea
713,Adèle Martine,Dijon,France
714,Aileen Harrington,Dublin,Ireland
715,Aidan O'Doherty,Cork,Ireland
716,Guadalupe Pérez,Santa Marta,Colombia
717,Priyamvada Subramanium,Mumbai,India
718,Xenia Hernández,Bogotá,Colombia
719,Hendrik Buskirk,Rotterdam,Netherlands
720,Ben Jackson,Burmingham,United Kingdom
721,Edyta Szymańska,Lublin,Poland
722,Anna Vandermeer,Rotterdam,Netherlands
723,Aziza Ballo,Durban,South Africa
724,Safiya Ajram,Cairo,Egypt
725,Emily White,Makassar,Indonesia
726,Ian Thomas,Sidney,Australia
727,Rachid Suleiman,Tabriz,Iran
728,Kate Taylor,London,United Kingdom
729,Jan Dudek,Wrocław,Poland
730,Alice Murray,Dundee,Scotland
731,Khadija Shazad,Lahore,Pakistan
732,Eduardo Domínguez,São Paulo,Brazil
733,Oliver Martin,London,United Kingdom
734,Chris Cook,Vancouver,Canada
735,Andrea Moreno,Bilbao,Spain
736,Heidi Andersen,Osio,Norway
737,Ariadne Speros,Patras,Greece
738,Jack Murray,Limerick,Ireland
739,Fatima Imad,Multan,Pakistan
740,Odette Dubois,Paris,France
741,Pablo Gómez,Braga,Portugal
742,Andrey Petrov,Kharkiv,Ukraine
743,Anna McGregor,Aberdeen,Scotland
744,Osvaldo López,Monterrey,Mexico
745,Dominika Kowalczyk,Warsaw,Poland
746,Priyamvada Yadav,Delhi,India
747,Nasreem Ghaffar,Kermanshah,Iran
748,Enrique López,Puebla,Mexico
749,Isidoro Martinez,Monterrey,Mexico
750,Roberta Moletta,Pisa,Italy
751,Huseyin Asker,Antalya,Turkey
752,Esperanza Ramos,Braga,Portugal
753,Tareq Majid,Mashhad,Iran
754,Axel Braun,Berlin,Germany
755,Ajax Manikas,Patras,Greece
756,Seamus O'Connell,Dublin,Ireland
757,Kate Kelly,Galway,Ireland
758,Rodrigo García,Cali,Colombia
759,Yazmira Agcay,Izmir,Turkey
760,Mikhael Shapira,Petah Tikva,Israel
761,Won Shik Shin,Seoul,South Korea
762,Karl Hansen,Uppsala,Sweden
763,Mustapha Samad,Faisalabad,Pakistan
764,Chrissie McKay,Glasgow,Scotland
765,Bertrand Lefèvre,Dijon,France
766,Sarah Ryan,Bandung,Indonesia
767,Huan Yue Cheng,Shanghai,China
768,Rahul Khan,Delhi,India
769,Dieter Richter,Munich,Germany
770,César Garza,Buenos Aires,Argentina
771,Hoda Wahid,Tabriz,Iran
772,Dominga Márquez,Mérida,Mexico
773,Anna Vorobyova,Moscow,Russia
774,Rika Dekker,Amsterdam,Netherlands
775,Seung Park,Busan,South Korea
776,Niels Lambert,Antwerp,Belgium
777,Naima Hariri,Alexandria,Egypt
778,Félix Ruiz,Monterrey,Mexico
779,Carol Martínez,Porto,Portugal
780,Leticia Chávez,Isla Ratón,Venezuela
781,Lehana Miambo,Polokwane,South Africa
782,Kenji Tanaka,Yokohama,Japan
783,Szymon Malinowski,Lublin,Poland
784,Aileen Quinn,Limerick,Ireland
785,Duane Rodgers,Miami,United States
786,Calvin Mitchell,Miami,United States
787,Rika Dekker,Amsterdam,Netherlands
788,Nick White,Miami,United States
789,Elsa Valdéz,Buenos Aires,Argentina
790,Catalina Gutiérrez,Lisbon,Portugal
791,Román Chávez,Mexico City,Mexico
792,Anastasiya Golubeva,Kyiv,Ukraine
793,Karan Singh,Mumbai,India
794,Shen Cheng,Chengdu,China
795,Leah White,Manchester,United Kingdom
796,Matthew Ryan,Sidney,Australia
797,Leif Pedersen,Trondheim,Norway
798,Mohammed Ghaffar,Faisalabad,Pakistan
799,Gideon Mizrachi,Petah Tikva,Israel
800,Thomas White,Jakarta,Indonesia
801,Charlie Sutherland,Aberdeen,Scotland
802,Sizwe Manana,Cape Town,South Africa
803,Beth Jones,Jakarta,Indonesia
804,Khaled Canaan,Multan,Pakistan
805,Jarle Nilsen,Gothenburg,Sweden
806,Julie Renard,Namur,Belgium
807,Sarah Wilson,Sidney,Australia
808,Isabella Roberti,Florence,Italy
809,Fabrizio Bettini,Florence,Italy
810,Shane O'Sullivan,Galway,Ireland
811,Mohammed Suleiman,Multan,Pakistan
812,Saida Amin,Cairo,Egypt
813,Andrea Vázquez,Braga,Portugal
814,Chen Ho,Shanghai,China
815,Erik Andersen,Gothenburg,Sweden
816,Jack Armstrong,Calgary,Canada
817,Amit Krishnan,Mumbai,India
818,Dominik Zieliński,Wrocław,Poland
819,Inéz Moreno,Puebla,Mexico
820,Anders Jensen,Trondheim,Norway
821,Estela Torres,Braga,Portugal
822,Mordecai Shapira,Jerusalem,Israel
823,Hoda Suleiman,Kermanshah,Iran
824,Asher David,Acre,Israel
825,Rohit Varma,Chennai,India
826,Youssef Aziz,Luxor,Egypt
827,Jose Luis López,Maracay,Venezuela
828,Dominika Mazur,Lublin,Poland
829,Sun Hi Cho,Seoul,South Korea
830,Juan Carlos Moreno,Bogotá,Colombia
831,Saul Mizrachi,Acre,Israel
832,Yolanda González,São Paulo,Brazil
833,Eduardo Moreno,São Paulo,Brazil
834,Naomi Daham,Jerusalem,Israel
835,Jack Anderson,Newcastle,Australia
836,Yoshio Kobayashi,Kyoto,Japan
837,Mona Johnson,Osio,Norway
838,Juanita Soto,Córdoba,Argentina
839,Arne Johannessen,Osio,Norway
840,Tova Biton,Acre,Israel
841,Johannes Dekker,Utrecht,Netherlands
842,Ingrid Halvorsen,Stavanger,Norway
843,Amélie Moreau,Nice,France
844,Rosario Rivera,Caracas,Venezuela
845,Martha Schulz,Hamburg,Germany
846,Beatriz Chávez,Isla Ratón,Venezuela
847,Erik Johnson,Uppsala,Sweden
848,Jorge Díaz,Buenos Aires,Argentina
849,Riku Yamada,Osaka,Japan
850,Charlie MacDonald,Aberdeen,Scotland
851,Steve White,Jakarta,Indonesia
852,Hamza Haidar,Multan,Pakistan
853,Abdullah Nur,Mashhad,Iran
854,Sarah Kelly,Melbourne,Australia
855,Lukas Weber,Munich,Germany
856,Dirk Vos,Delft,Netherlands
857,Ian Thomas,Newcastle,Australia
858,Javier Álvarez,Fortaleza,Brazil
859,Liam Kelly,Cork,Ireland
860,Magnus Nilsen,Stavanger,Norway
861,Kazumi Yamashita,Osaka,Japan
862,Dion Kosta,Thessaloniki,Greece
863,Karin Berg,Bergen,Norway
864,Elin Olsen,Stavanger,Norway
865,Amy Wilson,Canberra,Australia
866,Alejandro Medina,Maracay,Venezuela
867,Sergio Soto,Cali,Colombia
868,Krishna Banerjee,Mumbai,India
869,Angelo Cancellara,Pisa,Italy
870,Ariadne Thanos,Thessaloniki,Greece
871,Molly Edwards,Burmingham,United Kingdom
872,Mary Cooper,Miami,United States
873,Sofia Ignatyeva,Mariupol,Ukraine
874,Marcel Kaczmarek,Wrocław,Poland
875,Naoki Nakagawa,Tokyo,Japan
876,Svein Halvorsen,Bergen,Norway
877,Gabriel Hernández,Córdoba,Argentina
878,Ravid Gabai,Acre,Israel
879,Ji Woo Han,Incheon,South Korea
880,Mustapha Haddad,Mashhad,Iran
881,Leah Harris,London,United Kingdom
882,Susanna Popova,Kyiv,Ukraine
883,Élisabeth Fournier,Nice,France
884,Maura Keenan,Cork,Ireland
885,Guadalupe Castillo,Santa Marta,Colombia
886,Oliver Clarke,London,United Kingdom
887,Tao Zhu,Chengdu,China
888,Thomas Brown,Newcastle,Australia
889,Susan Perry,Vancouver,Canada
890,Arianna Marino,Pisa,Italy
891,Fatima Majid,Cairo,Egypt
892,Marguerite André,Dijon,France
893,Hasan Arat,Antalya,Turkey
894,Ibrahim Çelik,Istanbul,Turkey
895,Patrick Anderson,Bandung,Indonesia
896,Sergio Soto,Rosario,Argentina
897,Christine Cole,Vancouver,Canada
898,Daniela Gómez,Evora,Portugal
899,Narayan Mehta,Chennai,India
900,Dirk Vandermeer,Amsterdam,Netherlands
901,Piero Kakos,Patras,Greece
902,Maximilian Wagner,Hamburg,Germany
903,Ben Turner,Burmingham,United Kingdom
904,Hannah Chazan,Jerusalem,Israel
905,Youssef Kharam,Alexandria,Egypt
906,Galina Kuznetsova,Chelyabinsk,Russia
907,Xiao Chen Lin,Beijing,China
908,Ye Gao,Chengdu,China
909,Zorba Petridis,Patras,Greece
910,César Ramírez,Mérida,Mexico
911,Brittany Jones,Chicago,United States
912,Hideo Nakamura,Kyoto,Japan
913,Louis Durand,Bordeaux,France
914,Cheng Zhou,Beijing,China
915,Maxim Sidorov,Samara,Russia
916,Fiona Wallace,Edenburgh,Scotland
917,Lakshmi Sharma,Delhi,India
918,Heidi Larsen,Uppsala,Sweden
919,Ping Liang,Shanghai,China
920,Patrick Harris,Bandung,Indonesia
921,Man Shik Chang,Seoul,South Korea
922,Raquel González,São Paulo,Brazil
923,Yvonne Santiago,Cartagena,Colombia
924,Avi Segel,Petah Tikva,Israel
925,Carlos Pérez,Cartagena,Colombia
926,Natalia Smirnova,Moscow,Russia
927,Liang Song,Beijing,China
928,Ramón Alonso,Barcelona,Spain
929,Inés Hernández,Barcelona,Spain
930,Eduardo Muñoz,Manaus,Brazil
931,Jia Li Guo,Chengdu,China
932,Jan Wiśniewski,Lublin,Poland
933,Priyamvada Sarin,Delhi,India
934,Anish Mehra,Jaipur,India
935,Maciej Zając,Kraków,Poland
936,Cyril Thanos,Corinth,Greece
937,Gaston Mercier,Paris,France
938,Ramón Ramos,Bilbao,Spain
939,Natalia Bogdanova,Odesa,Ukraine
940,Sarah Jawahir,Karachi,Pakistan
941,Brit Jensen,Trondheim,Norway
942,Thomas Taylor,Liverpool,United Kingdom
943,Adrien Dumont,Namur,Belgium
944,Ben Hughes,Manchester,United Kingdom
945,Dakarai Makhuba,Pretoria,South Africa
946,Clara Lemmens,Namur,Belgium
947,Lars Boor,Utrecht,Netherlands
948,Vladimir Kuznetsov,Chelyabinsk,Russia
949,William Lee,Bandung,Indonesia
950,Corrie Jansen,Delft,Netherlands
951,Rin Suzuki,Yokohama,Japan
952,Stefan Konig,Cologne,Germany
953,Javier Santiago,Caracas,Venezuela
954,Natsuki Fujita,Tokyo,Japan
955,Javier Gutiérrez,São Paulo,Brazil
956,Tristan Richard,Dijon,France
957,Eva Chepurnova,Kyiv,Ukraine
958,Molly Daly,Limerick,Ireland
959,Szymon Nowak,Kraków,Poland
960,Susan Robertson,Calgary,Canada
961,Lily Ross,Glasgow,Scotland
962,Leena Bose,Delhi,India
963,Analucía Moreno,Santa Marta,Colombia
964,Magdalena Kaczmarek,Warsaw,Poland
965,Harry White,London,United Kingdom
966,Caden O'Connor,Galway,Ireland
967,Yon Yang,Incheon,South Korea
968,Jack Grant,Toronto,Canada
969,Inéz González,Buenos Aires,Argentina
970,Yegor Zinchenko,Mariupol,Ukraine
971,Malika Isra,Faisalabad,Pakistan
972,Mathis Gerard,Antwerp,Belgium
973,Miu Nakano,Osaka,Japan
974,Piotr Nowak,Kraków,Poland
975,Anton Hendriks,Delft,Netherlands
976,Silvia Pérez,Valencia,Spain
977,Sophie Hall,London,United Kingdom
978,Jessica Turner,Manchester,United Kingdom
979,Mariam Nabil,Kermanshah,Iran
980,Dara O'Carroll,Cork,Ireland
981,Duncan Gibson,Aberdeen,Scotland
982,Teresa Pérez,Barcelona,Spain
983,Iván López,Caracas,Venezuela
984,Saida Canaan,Tehran,Iran
985,Arpit Mehra,Jaipur,India
986,Pranav Malik,Jaipur,India
987,Hans Nilsen,Uppsala,Sweden
988,Guang Ho,Beijing,China
989,Véronique Girard,Dijon,France
990,Raúl Díaz,Caracas,Venezuela
991,Hans VanDyke,Delft,Netherlands
992,Dominique Fournier,Bordeaux,France
993,Rahul Shah,Mumbai,India
994,Sigurd Eriksen,Bergen,Norway
995,Anna Ferguson,Dundee,Scotland
996,Szymon Zieliński,Wrocław,Poland
997,Noah Renard,Leuven,Belgium
998,Seamus O'Doherty,Galway,Ireland
999,Finn Johansen,Stockholm,Sweden
1000,Tanvi Sarin,Chennai,India
1001,Rosa Medina,Puebla,Mexico
1002,Joan Campbell,Aberdeen,Scotland
1003,Joe Carroll,Chicago,United States
1004,Khaled Samad,Mashhad,Iran
1005,Tiffany Washington,Vancouver,Canada
1006,Georges Petit,Dijon,France
1007,Feng Wu,Beijing,China
1008,Juan Romero,Porto,Portugal
1009,Carlos Delgado,Cartagena,Colombia
1010,Caitlin O'Carroll,Galway,Ireland
1011,Joan Gibson,Edenburgh,Scotland
1012,Therese Johnson,Bergen,Norway
1013,Anton Bos,Utrecht,Netherlands
1014,Arianna Russo,Pisa,Italy
1015,Hitomi Nakajima,Yokohama,Japan
1016,Manolo Romero,Rio de Janeiro,Brazil
1017,Natsuki Miyamoto,Osaka,Japan
1018,Anna Vinogradova,Moscow,Russia
1019,Raniya Aziz,Faisalabad,Pakistan
1020,Carlos Flores,Rosario,Argentina
1021,Pablo Moreno,Bilbao,Spain
1022,Sarah Harris,Bandung,Indonesia
1023,Estela Moreno,Rio de Janeiro,Brazil
1024,Yue Wan Xu,Shanghai,China
1025,Véronique Mercier,Paris,France
1026,Igor Zaytsev,Chelyabinsk,Russia
1027,Thomas Kelly,Melbourne,Australia
1028,Jack Brown,Burmingham,United Kingdom
1029,Jun Li,Guangzhou,China
1030,Andrea Costa,Rome,Italy
1031,Galina Ilyushina,Moscow,Russia
1032,Eva Hernández,São Paulo,Brazil
1033,Behram Aydin,Izmir,Turkey
1034,Rosa Moreno,Cali,Colombia
1035,Yolanda Moreno,Madrid,Spain
1036,Jorge Vargas,Guayana City,Venezuela
1037,Isidoro Sanchez,Isla Ratón,Venezuela
1038,Kaito Fujii,Tokyo,Japan
1039,Encarnación Márquez,Cali,Colombia
1040,Carlos Ruiz,Barcelona,Spain
1041,Brittany Arnold,Miami,United States
1042,Naima Jalaal,Tabriz,Iran
1043,Adríana Pérez,Guayana City,Venezuela
1044,Lillian Hagen,Gothenburg,Sweden
1045,Claudia Klein,Hamburg,Germany
1046,Abdullah Rahman,Lahore,Pakistan
1047,Blanka Grabowski,Lublin,Poland
1048,Thanos Panagakos,Corinth,Greece
1049,Erik Larsen,Helsingborg,Sweden
1050,Bernhard Ulrich,Cologne,Germany
1051,Mariam Jalaal,Karachi,Pakistan
1052,Silvio Cancellara,Pisa,Italy
1053,Rodrigo Soto,Santa Marta,Colombia
1054,Tareq Ajram,Kermanshah,Iran
1055,Yolanda Ramos,Valencia,Spain
1056,Emir Ahmad,Istanbul,Turkey
1057,Graciela Hernández,Caracas,Venezuela
1058,Maria Kakos,Thessaloniki,Greece
1059,Dawn Jordan,Toronto,Canada
1060,Mary Hunter,Glasgow,Scotland
1061,Andy Hall,Toronto,Canada
1062,Ali Tariq,Alexandria,Egypt
1063,Szymon Dudek,Kraków,Poland
1064,Woojin Chun,Daegu,South Korea
1065,Asher Ben-David,Jerusalem,Israel
1066,Hanna Johnson,Helsingborg,Sweden
1067,Isabel Vázquez,Manaus,Brazil
1068,Elizabeth Green,Liverpool,United Kingdom
1069,Sarah Ajram,Mashhad,Iran
1070,Susanna Novikova,Chelyabinsk,Russia
1071,Viktor Kozlov,Mariupol,Ukraine
1072,Marcel Szymański,Warsaw,Poland
1073,Kayra Gul,Istanbul,Turkey
1074,Élisabeth Petit,Bordeaux,France
1075,Emily Jordan,Chicago,United States
1076,Catalina Martínez,Lisbon,Portugal
1077,Zahara Miambo,Polokwane,South Africa
1078,Amanda Berry,New York City,United States
1079,Encarnación Guzmán,Mendoza,Argentina
1080,Yoshio Kojima,Tokyo,Japan
1081,James Robinson,Semarang,Indonesia
1082,Leticia Rodriguez,Córdoba,Argentina
1083,Alice Stewart,Glasgow,Scotland
1084,Chiyoko Fujii,Yokohama,Japan
1085,Pyotr Sidorov,Saint Petersburg,Russia
1086,Minos Petridis,Patras,Greece
1087,Gerard VanDyke,Delft,Netherlands
1088,Yuri Lekas,Corinth,Greece
1089,Marina Smirnova,Saint Petersburg,Russia
1090,Susanna Zaytseva,Chelyabinsk,Russia
1091,Leena Das,Jaipur,India
1092,Zuzanna Kwiatkowski,Lublin,Poland
1093,Corrie Buskirk,Delft,Netherlands
1094,Svein Haugen,Bergen,Norway
1095,Mira Adivar,Izmir,Turkey
1096,Stig Jensen,Helsingborg,Sweden
1097,Ahmed Hashim,Lahore,Pakistan
1098,Román Chávez,Rosario,Argentina
1099,Masahiro Nakamura,Tokyo,Japan
1100,Jack White,Jakarta,Indonesia
1101,Leah Smith,Liverpool,United Kingdom
1102,Marco Gallo,Rome,Italy
1103,Laurie James,Los Angeles,United States
1104,Adina Amar,Petah Tikva,Israel
1105,Victor Gutiérrez,Barcelona,Spain
1106,Elsa Delgado,Mendoza,Argentina
1107,Adolfo García,Rio de Janeiro,Brazil
1108,Beatriz López,Isla Ratón,Venezuela
1109,Eduardo Vega,Córdoba,Argentina
1110,Steve Kelly,Bandung,Indonesia
1111,Pranav Rangarajan,Jaipur,India
1112,Fernando Suárez,Rio de Janeiro,Brazil
1113,Osman Sahin,Istanbul,Turkey
1114,Adam Grabowski,Warsaw,Poland
1115,Ana Martínez,Rio de Janeiro,Brazil
1116,Johannes Bakker,Rotterdam,Netherlands
1117,Paul Walker,Melbourne,Australia
1118,Kayra Birkan,Istanbul,Turkey
1119,Calvin Barnes,Calgary,Canada
1120,Eduardo Sanchez,Monterrey,Mexico
1121,Astrid Lefèvre,Dijon,France
1122,Begum Özdemir,Bursa,Turkey
1123,Hoda Wahid,Giza,Egypt
1124,Bernardo Ruiz,São Paulo,Brazil
1125,Calvin Anderson,Los Angeles,United States
1126,Jarne Leroy,Leuven,Belgium
1127,Iniko Gasebonwe,Polokwane,South Africa
1128,Mary Thompson,Canberra,Australia
1129,Anna Guseva,Chelyabinsk,Russia
1130,William Martin,Newcastle,Australia
1131,Heather Kelly,Vancouver,Canada
1132,Makoto Yamaguchi,Tokyo,Japan
1133,Catalina Alonso,Barcelona,Spain
1134,Christos Zervas,Corinth,Greece
1135,Dominik Jaworski,Warsaw,Poland
1136,Javier Blanco,Fortaleza,Brazil
1137,Kaito Hasegawa,Kyoto,Japan
1138,Valentina Russo,Pisa,Italy
1139,Harry Davies,Burmingham,United Kingdom
1140,Miguel Gutiérrez,Porto,Portugal
1141,Begum Arat,Bursa,Turkey
1142,Rosario González,Mendoza,Argentina
1143,Galina Kozlova,Saint Petersburg,Russia
1144,Carlos García,Valencia,Spain
1145,Yvonne Chávez,Caracas,Venezuela
1146,Katia Guzmán,Cali,Colombia
1147,Mustapha Asad,Karachi,Pakistan
1148,Amélie Lefèvre,Bordeaux,France
1149,Julia Domínguez,Evora,Portugal
1150,Guadalupe Ramírez,Maracay,Venezuela
1151,Román Soto,Mendoza,Argentina
1152,Laura Davis,New York City,United States
1153,Li Mei Yuan,Chengdu,China
1154,Yon Park,Busan,South Korea
1155,Else Schulz,Hamburg,Germany
1156,Maximilian Vogel,Cologne,Germany
1157,Johannes Bakker,Utrecht,Netherlands
1158,Sanem Altan,Antalya,Turkey
1159,William Ryan,Semarang,Indonesia
1160,Pranav Pillai,Jaipur,India
1161,Yekaterina Petrova,Kharkiv,Ukraine
1162,Emma Green,London,United Kingdom
1163,Paolo Sella,Pisa,Italy
1164,Lena Kowalczyk,Warsaw,Poland
1165,Denise Ellis,Vancouver,Canada
1166,Harumi Kobayashi,Kyoto,Japan
1167,Donna Bell,Miami,United States
1168,Hui Ying Shen,Beijing,China
1169,Calvin Brown,New York City,United States
1170,Owen Wood,Liverpool,United Kingdom
1171,Ryung Park,Seoul,South Korea
1172,Victor Muñoz,Rio de Janeiro,Brazil
1173,Lisbet Mulder,Utrecht,Netherlands
1174,Emily Smith,Liverpool,United Kingdom
1175,Hugh Sutherland,Aberdeen,Scotland
1176,Tanvi Rao,Jaipur,India
1177,Lexi Campbell,Dundee,Scotland
1178,Benjamin White,Bandung,Indonesia
1179,Antonio Basso,Florence,Italy
1180,Heinrich Klein,Munich,Germany
1181,Ahmet Batuk,Antalya,Turkey
1182,Caitlin Gallagher,Dublin,Ireland
1183,Paul Clarke,London,United Kingdom
1184,Sying Zhou,Shanghai,China
1185,Chidubem Boroto,Cape Town,South Africa
1186,Carol King,Calgary,Canada
1187,Fiona Ross,Edenburgh,Scotland
1188,Román Chávez,Mendoza,Argentina
1189,Erin Johnson,Jakarta,Indonesia
1190,Rosana Alonso,Bilbao,Spain
1191,Sergio Guzmán,Cali,Colombia
1192,Kiriko Yamazaki,Osaka,Japan
1193,Gérard Leroy,Dijon,France
1194,Mehmet Asker,Antalya,Turkey
1195,Iglin Arat,Istanbul,Turkey
1196,Camille Timmermans,Namur,Belgium
1197,Kostya Novikov,Odesa,Ukraine
1198,Noam Hadad,Jerusalem,Israel
1199,Encarnación Rodriguez,Cartagena,Colombia
1200,Hendrik Bos,Delft,Netherlands
1201,Feng Xiao,Chengdu,China
1202,Mahmoud Jalaal,Faisalabad,Pakistan
1203,Jessica Taylor,Manchester,United Kingdom
1204,Neema Kebbe,Durban,South Africa
1205,Isabella Petacchi,Rome,Italy
1206,Stig Hagen,Stavanger,Norway
1207,Roberto Rodriguez,Rio de Janeiro,Brazil
1208,Sarah Nasim,Luxor,Egypt
1209,Selin Agca,Izmir,Turkey
1210,Eleni Kakos,Athens,Greece
1211,Vladimir Novikov,Odesa,Ukraine
1212,Aya Nabil,Lahore,Pakistan
1213,Malin Larsen,Gothenburg,Sweden
1214,Woojin Jang,Daegu,South Korea
1215,Jose García,Guayana City,Venezuela
1216,Karin Hagen,Uppsala,Sweden
1217,Ariadne Thanos,Corinth,Greece
1218,Giorgios Petridis,Patras,Greece
1219,Ochieng Owusu,Cape Town,South Africa
1220,Yasin Adin,Bursa,Turkey
1221,Clare Kelly,Limerick,Ireland
1222,Kathleen Moore,Cork,Ireland
1223,Ella Mertens,Antwerp,Belgium
1224,Ali Samad,Tabriz,Iran
1225,Safiya Canaan,Lahore,Pakistan
1226,Mi Hi Kwan,Daegu,South Korea
1227,Karl Nilsen,Helsingborg,Sweden
1228,Pyotr Novikov,Mariupol,Ukraine
1229,Katerina Lekas,Corinth,Greece
1230,Gabriela García,Porto,Portugal
1231,Benjamin Brown,Newcastle,Australia
1232,Analucía Rivera,Córdoba,Argentina
1233,Anna Gibson,Aberdeen,Scotland
1234,Silvia García,Bilbao,Spain
1235,Lorenzo Conti,Pisa,Italy
1236,Elin Berg,Stavanger,Norway
1237,Jonas Wolf,Munich,Germany
1238,Sarah Williams,Newcastle,Australia
1239,Kate Harris,Liverpool,United Kingdom
1240,William Sullivan,Miami,United States
1241,Maricruz Vargas,Buenos Aires,Argentina
1242,Noam Gabai,Acre,Israel
1243,Charlotte Scott,Aberdeen,Scotland
1244,Julia Gutiérrez,Lisbon,Portugal
1245,Yusuf Arat,Antalya,Turkey
1246,Kalee Gupta,Chennai,India
1247,Humberto García,Caracas,Venezuela
1248,London Gray,Miami,United States
1249,Javier Ruiz,Monterrey,Mexico
1250,Hoda Wahid,Kermanshah,Iran
1251,Avi Daham,Petah Tikva,Israel
1252,Kirill Vasilyev,Samara,Russia
1253,Ryan O'Brien,Limerick,Ireland
1254,Xiao Chen Xu,Beijing,China
1255,Ivar Eriksen,Uppsala,Sweden
1256,Iván Márquez,Mexico City,Mexico
1257,Édith Thomas,Nice,France
1258,Fergus Hill,Aberdeen,Scotland
1259,Nikola Wróbel,Kraków,Poland
1260,Esteban Jiménez,São Paulo,Brazil
1261,Amelia Jaworska,Kraków,Poland
1262,Khaled Suleiman,Tehran,Iran
1263,Anna Ferguson,Edenburgh,Scotland
1264,Yekaterina Ilyushina,Odesa,Ukraine
1265,César Rivera,Monterrey,Mexico
1266,Malin Johannessen,Uppsala,Sweden
1267,Pedro Gómez,Fortaleza,Brazil
1268,Dawn Watson,Quebec City,Canada
1269,Adam Zając,Warsaw,Poland
1270,Bernardo Castro,Rio de Janeiro,Brazil
1271,Rolf Johannessen,Helsingborg,Sweden
1272,Yumi Suzuki,Yokohama,Japan
1273,Esmerelda Rivera,Isla Ratón,Venezuela
1274,Sarah Mufaddal,Alexandria,Egypt
1275,Raniya Canaan,Tehran,Iran
1276,Karima Nur,Lahore,Pakistan
1277,Sergio Medina,Cali,Colombia
1278,Guadalupe Rodriguez,Mexico City,Mexico
1279,Tymon Panagakos,Thessaloniki,Greece
1280,Abdullah Majid,Faisalabad,Pakistan
1281,Min Ju Kwan,Incheon,South Korea
1282,Nilsu Yilmaz,Izmir,Turkey
1283,Javier Fernández,Bilbao,Spain
1284,Rosa Rodriguez,Mendoza,Argentina
1285,Finn Olsen,Stavanger,Norway
1286,Shane O'Brien,Galway,Ireland
1287,Iniko Fofana,Pretoria,South Africa
1288,Valentina Costa,Bologna,Italy
1289,Catalina Fernández,Valencia,Spain
1290,Masahiro Nishimura,Tokyo,Japan
1291,Ji Hoon Kwan,Incheon,South Korea
1292,Anette Jensen,Helsingborg,Sweden
1293,Jamie Cox,Miami,United States
1294,Ivan Zaytsev,Odesa,Ukraine
1295,Mikhail Sokolov,Moscow,Russia
1296,Xue Liu,Chengdu,China
1297,Nasreem Ghalib,Alexandria,Egypt
1298,Olav Jensen,Uppsala,Sweden
1299,Camille Peeters,Namur,Belgium
1300,Lauren Lee,Melbourne,Australia
1301,Emily Wilson,Melbourne,Australia
1302,John King,Bandung,Indonesia
1303,Fabrizio Roberti,Florence,Italy
1304,Juan Martínez,Manaus,Brazil
1305,Steve King,Makassar,Indonesia
1306,Abdullah Mansoor,Cairo,Egypt
1307,Valérie Martine,Paris,France
1308,Inéz Chávez,Cali,Colombia
1309,Karen Stevens,Vancouver,Canada
1310,Inéz López,Córdoba,Argentina
1311,Jorge Álvarez,Lisbon,Portugal
1312,Eliana Ben-David,Acre,Israel
1313,Hélène Fournier,Paris,France
1314,Beth Johnson,Canberra,Australia
1315,Liang Li,Guangzhou,China
1316,Erin Brown,Makassar,Indonesia
1317,Rosa Díaz,Buenos Aires,Argentina
1318,Dominika Grabowski,Warsaw,Poland
1319,Leticia Moreno,Rosario,Argentina
